Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P83303	TXH4_CYRSC	reviewed	Huwentoxin-IV (HwTx-IV) (Huwentoxin-4) (Huwentoxin-IVa) (HWTX-IVa) (Huwentoxin-IVb) (HWTX-IVb) (Huwentoxin-IVc) (HWTX-IVc) (Mu-theraphotoxin-Hs2a) (Mu-TRTX-Hs2a)		Cyriopagopus schmidti (Chinese bird spider) (Haplopelma schmidti)	89
P56855	TX1_STRGF	reviewed	Kappa-theraphotoxin-Scg1a (Kappa-TRTX-Scg1a) (Toxin SGTx1)		Stromatopelma calceatum griseipes (Feather leg baboon tarantula) (Scodra griseipes)	34
P60514	TXP1_PSACA	reviewed	Psalmotoxin-1 (PcTx1) (Pi-theraphotoxin-Pc1a) (Pi-TRTX-Pc1a)		Psalmopoeus cambridgei (Trinidad chevron tarantula)	40
P83476	TXPR2_THRPR	reviewed	Beta/omega-theraphotoxin-Tp2a (Beta/omega-TRTX-Tp2a) (ProTx-II) (PT-II) (Protoxin-2) (ProTx-2) (ProTx2)		Thrixopelma pruriens (Peruvian green velvet tarantula)	30
P60266	SCX4_CENSU	reviewed	Beta-mammal toxin Css4 (Css IV) (CssIV)		Centruroides suffusus (Durango bark scorpion)	87
Q26292	SIX2_LEIHE	reviewed	Beta-insect depressant toxin LqhIT2 (Insect toxin 2) (Lqh IT2) (LqhIT2-44)		Leiurus hebraeus (Deathstalker scorpion) (Leiurus quinquestriatus hebraeus)	85
P17728	SCXA_LEIHE	reviewed	Alpha-insect toxin LqhaIT (Lqh-alpha-IT) (Alpha-IT)		Leiurus hebraeus (Deathstalker scorpion) (Leiurus quinquestriatus hebraeus)	85
P84646	SCX1_ODODO	reviewed	Alpha-toxin OD1		Odontobuthus doriae (Yellow Iranian scorpion)	65
P01484	SCX2_ANDAU	reviewed	Alpha-mammal toxin AaH2 (AaH II) (AaHII) (Neurotoxin 2)		Androctonus australis (Sahara scorpion)	85
P08900	SCX2_CENSU	reviewed	Beta-mammal toxin Css2 (Css II) (CssII)		Centruroides suffusus (Durango bark scorpion)	66
Q7SZN0	FA5V_PSETE	reviewed	Venom prothrombin activator pseutarin-C non-catalytic subunit (PCNS) (vPA) (Venom coagulation factor Va-like protein) [Cleaved into: Pseutarin-C non-catalytic subunit heavy chain; Pseutarin-C non-catalytic subunit light chain]		Pseudonaja textilis (Eastern brown snake)	1460
P83370	FAXD_HOPST	reviewed	Venom prothrombin activator hopsarin-D (vPA) (EC 3.4.21.6) (Venom coagulation factor Xa-like protease) [Cleaved into: Hopsarin-D light chain; Hopsarin-D heavy chain]		Hoplocephalus stephensii (Stephens' banded snake)	455
Q58L94	FAXD2_NOTSC	reviewed	Venom prothrombin activator notecarin-D2 (vPA) (EC 3.4.21.6) (Venom coagulation factor Xa-like protease) [Cleaved into: Notecarin-D2 light chain; Notecarin-D2 heavy chain]		Notechis scutatus scutatus (Mainland tiger snake) (Common tiger snake)	453
Q9PW56	BNP2_BOTJA	reviewed	Bradykinin-potentiating and C-type natriuretic peptides (Brain BPP-CNP) (bBPP-CNP) (Evasin-CNP) [Cleaved into: Bradykinin-potentiating peptide 13a+QQWA (BPP-13a+QQWA); Bradykinin-potentiating peptide 13a+QWA (BPP-13a+QWA); Bradykinin-potentiating peptide 13a (BPP-13a); Bradykinin-potentiating peptide 10c+QQWA (BPP-10c+QQWA); Bradykinin-potentiating peptide 10c (BPP-10c) (BPP-2) (Evasin-10c); Bradykinin-potentiating peptide 12b (BPP-12b) (Evasin-12b); Bradykinin-potentiating peptide AP; Bradykinin-potentiating peptide APL (BPP-APL); Bradykinin-potentiating peptide 11e (BPP-11e) (Evasin-11e); Bradykinin-potentiating peptide 5a (BPP-5a) (Bradykinin-potentiating peptide Va) (BPPVa) (Evasin-5a) (Proline-rich peptide 5a) (Bj-PRO-5a) (PRO-5a); Poly-His-poly-Gly peptide 1 (pHpG-1); C-type natriuretic peptide (Bj-CNP)]		Bothrops jararaca (Jararaca) (Bothrops jajaraca)	265
Q27J49	BNP_LACMU	reviewed	Bradykinin-potentiating and C-type natriuretic peptides (BPP-CNP) [Cleaved into: Bradykinin-potentiating peptide 1 (BPP 1); Bradykinin-potentiating peptide 2 (BPP 2); Bradykinin-potentiating peptide 3 (BPP 3); Bradykinin-potentiating peptide 4 (BPP 4); Bradykinin-potentiating peptide 5 (BPP 5); Bradykinin inhibitor peptide (BIP); C-type natriuretic peptide (CNP)]		Lachesis muta muta (Bushmaster)	239
P68515	BNP_BOTIN	reviewed	Bradykinin-potentiating and C-type natriuretic peptides (Angiotensin-converting enzyme inhibitor) (BPP-CNP homolog) [Cleaved into: Bradykinin-potentiating peptide 13a (BPP-13a) (Bradykinin-potentiating peptide S3,1); Bradykinin-potentiating peptide 10c (BPP-10c) (BPP-2) (Bradykinin-potentiating peptide S4,3,1); Bradykinin-potentiating peptide 12b (BPP-12b) (Bradykinin-potentiating peptide S4,3,2); Bradykinin-potentiating peptide 11e (BPP-11e); Bradykinin-potentiating peptide 5a (BPP-5a) (Bradykinin-potentiating peptide S5,2) (Bradykinin-potentiating peptide Va) (BPPVa) (Proline-rich peptide 5a) (PRO-5a); C-type natriuretic peptide (CNP)]		Bothrops insularis (Golden lancehead) (Lachesis insularis)	265
Q6LEM5	BNP1_BOTJA	reviewed	Bradykinin-potentiating and C-type natriuretic peptides (BPP-CNP) [Cleaved into: Bradykinin-potentiating peptide 6a (BPP-6a); Bradykinin-potentiating peptide 10a (BPP-10a) (Bradykinin-potentiating peptide IV-1-A) (BPPIV-1-A) (Bradykinin-potentiating peptide V-8); Bradykinin-potentiating peptide 13a+QQWA (BPP-13a+QQWA); Bradykinin-potentiating peptide 13a+QWA (BPP-13a+QWA); Bradykinin-potentiating peptide 13a (BPP-13a) (Bradykinin-potentiating peptide III-1-A) (III-1-A) (Bradykinin-potentiating peptide V-9); Bradykinin-potentiating peptide 10c+QQWA (BPP-10c+QQWA); Bradykinin-potentiating peptide 10c (BPP-10c) (BPP-2) (Bradykinin-potentiating peptide IV-1-Bbeta) (BPP IV-1-Bbeta) (Bradykinin-potentiating peptide V-7); Bradykinin-potentiating peptide 10c-F (BPP-10c-F); Bradykinin-potentiating peptide 11b (BPP-11b) (Bradykinin-potentiating peptide IIa) (BPP-IIa); Bradykinin-potentiating peptide IIb (BPP-IIb); Bradykinin-potentiating peptide 5a (BPP-5a) (Bradykinin-potentiating peptide Va) (BPPVa) (Proline-rich peptide 5a) (Bj-PRO-5a) (PRO-5a); Poly-His-poly-Gly peptide 1 (pHpG-1); C-type natriuretic peptide (Bj-CNP)]		Bothrops jararaca (Jararaca) (Bothrops jajaraca)	256
Q58L96	FAXC_OXYSU	reviewed	Venom prothrombin activator oscutarin-C catalytic subunit (vPA) (EC 3.4.21.6) (Factor VII activator) (Snake venom serine protease) (SVSP) (Venom coagulation factor Xa-like protease) [Cleaved into: Oscutarin-C catalytic subunit light chain; Oscutarin-C catalytic subunit heavy chain]		Oxyuranus scutellatus (Coastal taipan)	467
P81428	FAXD_TROCA	reviewed	Venom prothrombin activator trocarin-D (vPA) (EC 3.4.21.6) (Venom coagulation factor Xa-like protease) [Cleaved into: Trocarin-D light chain; Trocarin-D heavy chain]		Tropidechis carinatus (Australian rough-scaled snake)	455
